timestamp,region,service_type,usage_units,provisioned_capacity_allocated,cost_usd,availability_pct,is_holiday,hour,day_of_week,day_of_month,month,quarter,is_weekend,usage_lag_1,usage_lag_7,usage_rolling_mean_3,usage_rolling_mean_7,usage_spike
2022-01-01,centralindia,compute,27447.0,33640.0,41170.5,99.91,0.0,0,5,1,1,1,1,0.0,0.0,27447.0,27447.0,0.0
2022-01-01,centralindia,storage,15775.0,20427.0,7887.5,99.97,0.0,0,5,1,1,1,1,0.0,0.0,15775.0,15775.0,0.0
2022-01-01,centralindia,storage,4900.0,5901.0,2450.0,99.95,0.0,0,5,1,1,1,1,15775.0,0.0,10337.5,10337.5,1.5259975814726967
2022-01-01,centralindia,storage,8341.0,10733.0,4170.5,99.62,0.0,0,5,1,1,1,1,4900.0,0.0,9672.0,9672.0,0.5066170388227236
2022-01-01,northeurope,compute,27521.0,35449.0,41281.5,99.9,0.0,0,5,1,1,1,1,0.0,0.0,27521.0,27521.0,0.0
2022-01-01,southeastasia,compute,18668.0,23364.0,28002.0,99.9,0.0,0,5,1,1,1,1,0.0,0.0,18668.0,18668.0,0.0
2022-01-01,southeastasia,compute,24594.0,28471.0,36891.0,99.94,0.0,0,5,1,1,1,1,18668.0,0.0,21631.0,21631.0,0.8630206647467514
2022-01-01,southeastasia,compute,23952.0,27591.0,35928.0,99.62,0.0,0,5,1,1,1,1,24594.0,0.0,22404.666666666668,22404.666666666668,1.0977177373271467
2022-01-01,southeastasia,storage,27867.0,33413.0,13933.5,99.74,0.0,0,5,1,1,1,1,0.0,0.0,27867.0,27867.0,0.0
2022-01-01,westus,compute,27945.0,32920.0,41917.5,99.82,0.0,0,5,1,1,1,1,0.0,0.0,27945.0,27945.0,0.0
2022-01-01,westus,compute,22794.0,28326.0,34191.0,99.63,0.0,0,5,1,1,1,1,27945.0,0.0,25369.5,25369.5,1.1015195411379208
2022-01-01,westus,compute,19956.0,23114.0,29934.0,99.96,0.0,0,5,1,1,1,1,22794.0,0.0,23565.0,23565.0,0.9672819859551334
2022-01-01,westus,storage,26978.0,34331.0,13489.0,99.9,0.0,0,5,1,1,1,1,0.0,0.0,26978.0,26978.0,0.0
